"Quantidade de vendas por dia","listItems.itemsId.keyword: Descending",Count
"2019-06-09",8550011,1
"2019-06-09",8600008,1
"2019-06-09",8600010,1
"2019-06-09",8700001,1
"2019-06-09",8700005,1
"2019-06-09",8700006,1
"2019-06-09",8700007,1
"2019-06-09",8700010,1
"2019-06-09",8700011,1
"2019-06-09",8700012,1
"2019-06-09",8700014,1
"2019-06-09",8700047,1
"2019-06-10",9008,385
"2019-06-10",6012,240
"2019-06-10",1050,123
"2019-06-10",6013,74
"2019-06-10",1804,60
"2019-06-10",2106,55
"2019-06-10",6011,55
"2019-06-10",7100023,55
"2019-06-10",2700,37
"2019-06-10",8000007,35
"2019-06-10",7100022,33
"2019-06-10",7100036,25
"2019-06-10",7300014,25
"2019-06-10",6020,24
"2019-06-10",8800008,23
"2019-06-10",1052,22
"2019-06-10",1700,20
"2019-06-10",8000012,19
"2019-06-10",20006,18
"2019-06-10",7300015,18
"2019-06-10",8000013,17
"2019-06-10",7100021,16
"2019-06-10",2100,15
"2019-06-10",8000045,15
"2019-06-10",7100033,14
"2019-06-10",7700020,14
"2019-06-10",8000001,14
"2019-06-10",8000043,14
"2019-06-10",7300001,13
"2019-06-10",7300024,13
"2019-06-10",8700020,13
"2019-06-10",2064,11
"2019-06-10",30000,11
"2019-06-10",7100057,11
"2019-06-10",7900006,11
"2019-06-10",20000,10
"2019-06-10",2604,10
"2019-06-10",7100055,10
"2019-06-10",8700017,9
"2019-06-10",7100060,8
"2019-06-10",7100074,8
"2019-06-10",7100079,8
"2019-06-10",7700017,8
"2019-06-10",8800010,8
"2019-06-10",1600,7
"2019-06-10",20002,7
"2019-06-10",2612,7
"2019-06-10",6522,7
"2019-06-10",7100056,7
"2019-06-10",7100061,7
"2019-06-10",7700019,7
"2019-06-10",9058,7
"2019-06-10",6508,6
"2019-06-10",7700016,6
"2019-06-10",2602,5
"2019-06-10",5000891,5
"2019-06-10",5000074,4
"2019-06-10",6018,4
